id,name,category,family,grade,standard_system,standard_designation,uns,en_number,tags,notes,source_type,source_name,confidence,density,youngs_modulus,poisson_ratio,yield_strength,ultimate_strength,toughness,thermal_expansion,melting_point,thermal_conductivity,created_at,updated_at,default_condition_id
1,Aluminum 6061 [0001],metal,aluminum,6061,ASTM,ASTM A850,X80239,,"aluminum,bundle,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,7541.2,153246080944.54,0.351,439842544.13,981801264.9,51169631.61,1.1572597e-05,647.39,235.9294,2026-02-02T18:45:01.333645,2026-02-02T18:45:01.333659,1
2,Mmc Al-SiC MMC [0002],composite,MMC,Al-SiC MMC,ISO,ISO 10877,,,"MMC,bundle,composite,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1482.16,53272883025.22,0.2573,692256021.8,1073519471.98,15951101.81,-1.9099407e-06,241.24,6.6328,2026-02-02T18:45:01.334108,2026-02-02T18:45:01.334112,2
3,Nickel Alloy Inconel 625 [0003],metal,nickel alloy,Inconel 625,JIS,JIS H1491,X30821,,"bundle,metal,nickel_alloy,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,7655.01,80326138767.66,0.2751,1371550329.24,2380362195.84,119743220.89,2.2703699e-05,1329.29,411.9254,2026-02-02T18:45:01.334685,2026-02-02T18:45:01.334693,3
4,Pc PC-Impact [0004],polymer,pc,PC-Impact,ISO,ISO 11154,,,"bundle,pc,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,921.81,3089203004.23,0.3705,38884964.79,156253902.93,591007.12,9.9054382e-05,296.97,0.5458,2026-02-02T18:45:01.335809,2026-02-02T18:45:01.335816,5
5,Pc PC [0005],polymer,pc,PC,ASTM,ASTM D471,,,"bundle,pc,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1330.44,3183447580.67,0.4417,107403514.45,196024243.97,6371683.07,4.8783908e-05,193.25,0.4021,2026-02-02T18:45:01.336287,2026-02-02T18:45:01.336292,6
6,Magnesium AZ31B [0006],metal,magnesium,AZ31B,ASTM,ASTM E318,X70383,,"bundle,magnesium,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,7817.91,110617124610.63,0.3439,477182760.4,1207253911.96,22650279.71,7.5563363e-06,1320.6,178.8422,2026-02-02T18:45:01.336554,2026-02-02T18:45:01.336557,7
7,Titanium Ti-6Al-4V [0007],metal,titanium,Ti-6Al-4V,EN,EN 88081,X20356,1.9386,"bundle,metal,synthetic,titanium",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,7695.97,180461707305.83,0.2847,237389584.83,1217040625.98,41152960.38,1.3189409e-05,1587.16,411.9049,2026-02-02T18:45:01.338424,2026-02-02T18:45:01.338431,8
8,Nickel Alloy Inconel 625 [0008],metal,nickel alloy,Inconel 625,JIS,JIS K7281,X33430,,"bundle,metal,nickel_alloy,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,7435.06,159022700770.07,0.309,467588746.57,1614956059.93,25462671.29,1.5707492e-05,1119.47,83.6233,2026-02-02T18:45:01.338909,2026-02-02T18:45:01.338913,9
9,Aluminum 1100 [0009],metal,aluminum,1100,ASTM,ASTM A554,X13306,,"aluminum,bundle,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8008.98,98027008961.7,0.2658,1201477520.48,1274164003.19,146689833.36,2.4877492e-05,807.45,68.3293,2026-02-02T18:45:01.339310,2026-02-02T18:45:01.339314,10
10,Nickel Alloy Inconel 625 [0010],metal,nickel alloy,Inconel 625,EN,EN 88906,X76025,1.8800,"bundle,metal,nickel_alloy,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8677.07,158924137050.69,0.2631,707443265.19,1602795300.42,48981620.54,1.3588852e-05,1193.18,298.9104,2026-02-02T18:45:01.339665,2026-02-02T18:45:01.339668,11
